slang,formal,unsure
ni,ini,0
ngehujat,menghujat,1
udah,sudah,0
beneran,benaran,0
sdh,sudah,0
yaa,ya,0
ANJIRRR,anjir,0
UDAH,sudah,0
ngeh,engah,0
ga,enggak,0
ucul,lucu,1
GILE,gila,0
CANTIQ,cantik,0
Cantikk,cantik,0
Udh,sudah,0
klo,kalau,0
lg,lagi,0
lg,lagi,0
ampe,sampai,0
ky,kayak,0
gini,begini,0
ucuuu,lucu,0
mb,mbak,0
byk,banyak,0
ga,enggak,0
ngerti,mengerti,0
dg,dengan,0
mrk,mereka,0
cri,cari,0
lg,lagi,0
sm,sama,0
trus,terus,0
klo,kalau,0
stresss,stres,0
smp,sampai,0
yg,yang,0
jdi,jadi,0
blm,belum,0
lgi,lagi,0
thd,terhadap,0
dri,dari,0
jdi,jadi,0
ny,nya,0
klo,kalau,0
yg,yang,0
ngawasi,mengawasi,0
yg,yang,0
untk,untuk,0
lbh,lebih,0
drpd,daripada,0
bener,benar,0
ngakak,mengakak,0
Jing,anjing,1
lg,lagi,0
yaw,ya,0
ngubek,mengubek,0
kayanya,kayaknya,1
yg,yang,0
dedek,adek,1
liat,lihat,0
ngakak,mengakak,0
abis,habis,0
Gini,begini,1
bgt,banget,0
akn,akan,0
ndukung,mendukung,0
aq,aku,0
yah,ya,0
lbih,lebih,0
krus,kurus,0
dri,dari,0
pda,pada,0
bner,benar,0
gaa,enggak,0
bagiin,membagikan,1
trus,terus,0
gak,enggak,0
sbelahnya,sebelahnya,0
ama,sama,0
anak'y,anaknya,1
tp,tapi,0
inget,ingat,0
ibu'y,ibunya,1
ni,ini,0
ni,ini,0
komen,komentar,1
bgt,banget,0
silauuu,silau,0
gg,enggak,0
bgt,banget,0
Iy,iya,0
sdh,sudah,0
prnh,pernah,0
liat,lihat,0
belooomm,belum,0
K,oke,0
yg,yang,0
cwe,cewek,0
klo,kalau,0
yg,yang,0
cwo,cowok,0
iyaa,iya,0
ama,sama,0
iseng2,iseng-iseng,1
aja,saja,1
tp,tapi,0
gk,enggak,0
nyangka,menyangka,1
yaaa,ya,0
Gemesss,gemas,0
Tetep,tetap,0
tp,tapi,0
mbakx,mbaknya,1
aja,saja,1
syantik,cantik,0
kite,kita,0
bat,banget,0
Suaranyaaaaah,suaranya,0
Sama2,sama-sama,1
bgt,banget,0
yaaa,ya,0
yah,ya,0
ga,enggak,0
jd,jadi,0
s/d,s.d.,1
thn,tahun,0
utk,untuk,0
ga,enggak,0
Udah,sudah,0
nnti,nanti,0
kk,kakak,0
kka,kakak,0
gak,enggak,0
jugak,juga,0
nungguin,menunggu,1
ngeluarin,mengeluarkan,1
baguusssss,bagus,0
bgt,banget,0
bkin,bikin,0
pengen,pengin,1
nontn,tonton,1
imutt,Imut-imut,1
astagaaa,astaga,0
lg,lagi,0
tgl,tanggal,0
baaanggg,bang,0
Mantabb,mantap,0
Amiinn,amin,0
krn,karena,0
tp,tapi,0
cewer,jewer,0
bilanh,bilang,0
gak,enggak,0
aja,saja,0
kngn,kangen,0
bgt,banget,0
sm,sama,0
kbersaamaan,kebersamaan,0
klian,kalian,0
kpn,kapan,0
bs,bisa,0
maen,main,0
ky,kayak,0
dlu,dulu,0
romntis,romantis,0
bgt,banget,0
klian,kalian,0
d,di,0
sllu,selalu,0
amiiinnn,amin,0
yaa,ya,0
gitu,begitu,0
yah,ya,0
gini,begini,1
Aamiin,amin,0
gegara,gara-gara,1
kcantikan,kecantikan,0
gthu,begitu,0
tp,tapi,0
kek,kayak,0
gini,begini,0
ga,enggak,0
jugaakk,juga,0
Amiiiiinnnnn,amin,0
mrk,mereka,0
Lucuuuuu,lucu,0
pngn,pengin,0
pipi'y,pipinya,0
gemmeeezzz,gemas,0
aja,saja,0
d,di,0
abissss,habis,0
bgd,banget,0
ma,sama,0
ka,kak,0
sygkuu,sayangku,0
yg,yang,0
semangattt,semangat,0
yaa,ya,0
kapan2,kapan-kapan,1
Betulll,betul,0
macii,masih,0
ingusannnn,ingusan,0
jadiiiiiiiii,jadi,0
begitulahh,begitulah,1
jga,juga,0
sm,sama,0
yg,yang,0
yg,yang,0
ga,enggak,0
kalo,kalau,0
aminnnn,amin,0
Kk,kakak,0
sma,sama,0
kk,kakak,0
Emang,memang,0
knp,kenapa,0
Klw,kalau,0
blh,boleh,0
klw,kalau,0
yaa,ya,0
mna,mana,0
ade,adek,1
BANGETTT,banget,0
bgt,banget,0
dg,dengan,0
ni,ini,0
Asiiik,asik,0
q,ku,0
banyaak,banyak,0
Apa'an,apa-apaan,1
bnyk,banyak,0
knp,kenapa,0
Bukak,buka,0
grupp,grup,0
gitu,begitu,1
kyk,kaya,1
ga,enggak,0
gara2,gara-gara,1
rekomendasiin,rekomendasikan,1
ginii,begini,1
kayanya,kayaknya,1
sama2,sama-sama,1
Yg,yang,0
skrg,sekarang,0
dri,dari,0
yg,yang,0
jd,jadi,0
lbih,lebih,0
dr,dari,0
kek,kayak,0
gini,begini,0
ka,kak,0
Pengen,pengin,1
gini,begini,0
Ngiriii,mengiri,1
yak,ya,0
cantiik,cantik,0
Aamiin,amin,0
yah,ya,0
KA,kak,0
Iyaa,iya,0
jg,juga,0
udah,sudah,0
mba,mbak,0
Iyaa,iya,0
gw,gue,0
mba,mbak,0
tu,itu,0
kamiiii,kami,0
s/d,s.d.,1
thn,tahun,0
utk,untuk,0
ga,enggak,0
Udah,sudah,0
aja,saja,0
Udah,sudah,0
naksir,menaksir,1
dek,dik,1
yaa,ya,0
seneng,senang,0
Wenaak,enak,0
njiiiir,anjir,1
nontonx,menontonnya,1
yach,ya,0
kek,kayak,0
klo,kalau,1
Yg,yang,0
Ijin,izin,1
walopun,walaupun,0
klo,kalau,1
ak,aku,0
pke,pakai,0
aja,saja,1
trs,terus,0
ga,enggak,0
nyangka,menyangka,1
ka,kak,0
trs,terus,0
KZL,kesal,0
Abis,habis,0
jgn,jangan,0
jd,jadi,0
nahan,menahan,1
dgr,dengar,0
pake,pakai,0
Ikuykt,ikut,0
Ngerti,mengerti,1
gak,enggak,0
maksd,maksud,0
TLP,telepon,0
TLP,telepon,0
ga,enggak,0
Udah,sudah,0
bgt,banget,0
kya,kayak,0
baik2,baik-baik,0
dn,dan,0
anknya,anaknya,0
smoga,semoga,0
sllu,selalu,0
jdi,jadi,0
kluarga,keluarga,0
yg,yang,0
smpe,sampai,0
wktu,waktu,0
aminnnnn,amin,0
Msak,masa,0
nunggu,menunggu,1
qt,kita,0
jd,jadi,0
istrii,istri,0
org,orang,0
kayaa,kaya,0
duluu,dulu,0
ber2,berdua,1
yah,ya,0
patesan,pantasan,1
jgn,jangan,0
ga,enggak,0
yaa,ya,0
kaka,kakak,0
bener,benar,0
yg,yang,0
kaka,kakak,0
saranin,sarankan,1
gak,enggak,0
kk,kakak,0
bener,benar,0
jd,jadi,0
gak,enggak,0
liat,lihat,0
manisny,manisnya,0
mb,mbak,0
jg,juga,0
skrng,sekarang,0
thn,tahun,0
taun,tahun,0
msh,masih,0
jalanin,menjalankan,1
ade,adek,1
jg,juga,0
Smoga,semoga,0
slalu,selalu,0
mba,mbak,0
Gantengg,ganteng,0
ga,enggak,0
pake,pakai,0
PUCING,pusing,0
PALA,kepala,0
kapann,kapan,0
kyak,kayak,0
gni,begini,0
sma,sama,0
onoh,itu,1
eaaa,ya,1
Yoiii,iya,1
bg,bang,0
bgt,banget,0
engga,enggak,0
Liat,lihat,0
yg,yang,0
manjadi,menjadi,0
nyo,nya,1
jln,jalan,0
Bnget,banget,0
SKRG,sekarang,0
aja,saja,0
Yg,yang,0
byk,banyak,0
org,orang,0
aja,saja,0
trus,terus,0
gak,enggak,0
d,di,0
yg,yang,0
udh,sudah,0
d,di,0
plih,pilih,0
cepet,cepat,0
lgi,lagi,0
ketauan,ketahuan,0
mau2,mau-mau,1
aja,saja,0
d,di,0
g,enggak,0
ush,usah,0
pikirin,memikirkan,1
UDAH,sudah,0
KAYANYA,kayaknya,0
GA,enggak,0
DAPET,dapat,0
AJA,saja,0
UDAH,sudah,0
PENGEN,pengin,0
TAU,tahu,0
AJA,saja,0
aja,saja,0
sm,sama,0
ayank,sayang,1
akyu,aku,1
Yg,yang,0
dr,dari,0
rb,ribu,0
GA,enggak,0
NYANGKA,menyangka,0
BENERAN,benaran,1
Mnding,mending,0
sm,sama,0
aja,saja,0
liat,lihat,0
kaga,kagak,0
Mirip2,Mirip-mirip,1
bapakyuh,bapakku,0
mangkanya,makanya,0
ngomongi,mengomongkan,1
YG,yang,0
mngknya,mangkanya,0
trs,terus,0
ngikutin,mengikuti,0
jdwl,jadwal,0
yaaa,ya,0
Kangeeeen,kangen,0
liht,lihat,0
dr,dari,0
pndang,pandang,0
aja,saja,0
sbagai,sebagai,0
pmbelajaran,pembelajaran,0
Jugaa,juga,0
orng,orang,0
yg,yang,0
bgt,banget,0
gak,enggak,0
ngejelek,menjelekkan,1
yg,yang,0
maslah,masalah,0
pake,pakai,0
mmperbaiki,memperbaiki,0
iyya,iya,0
gini,begini,0
ga,enggak,0
prnh,pernah,0
yaak,ya,0
ni,ini,0
namany,namanya,0
sperti,seperti,0
yg,yang,0
pgn,pengin,0
gantg,ganteng,0
bgt,banget,0
suamina,suaminya,0
Kngenn,kangen,0
sokk,sok,0
